Song,Performer,track_id,cluster_grouping,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
As Good As I Once Was,Toby Keith,7G6l2FtQyRhQgYgut2I6i8,102,0.679,0.8420000000000001,5.0,-4.364,1.0,0.0376,0.275,0.0,0.135,0.72,119.01299999999999,4.0
Collide,Howie Day,6dwkFmLUz6hx2CZG2EqLol,103,0.636,0.625,11.0,-7.895,1.0,0.0277,0.222,5.3500000000000006e-05,0.11900000000000001,0.342,93.931,4.0
Almost Home,Craig Morgan,6FW9MTGMjR5A6q2o7PLuuz,104,0.525,0.48100000000000004,8.0,-6.715,1.0,0.0251,0.302,0.0,0.121,0.237,75.97399999999999,4.0
Roses,The Chainsmokers Featuring Rozes,3vv9phIu6Y1vX3jcqaGz5Z,105,0.713,0.802,4.0,-7.055,1.0,0.0561,0.0435,0.0037700000000000003,0.309,0.34299999999999997,100.001,4.0
Heroes (We Could Be),Alesso Featuring Tove Lo,3zU9rdflI65tK4dkkNSp77,207,0.503,0.748,5.0,-4.124,1.0,0.0619,0.0305,0.0,0.34299999999999997,0.35600000000000004,125.896,4.0
I Wanna Love You,Akon Featuring Snoop Dogg,4xAk8Lw82G3YoVSOdVAsBx,107,0.866,0.46,0.0,-9.252,1.0,0.0423,0.0442,0.0,0.32299999999999995,0.29,99.98,4.0
Fix,Chris Lane,6gXuwld0PRtinePSXV2Vn1,108,0.532,0.883,0.0,-2.7430000000000003,0.0,0.0352,0.0951,0.0,0.304,0.7,99.995,4.0
Sweet Nothing,Calvin Harris Featuring Florence Welch,24LS4lQShWyixJ0ZrJXfJ5,83,0.573,0.929,8.0,-3.9419999999999997,0.0,0.109,0.19699999999999998,0.00011200000000000001,0.0567,0.5820000000000001,127.934,4.0
Switch,Will Smith,2bmxx16hNi3W5FGzfFO9xX,110,0.88,0.8809999999999999,1.0,-5.143,1.0,0.191,0.008029999999999999,0.000144,0.597,0.519,102.51700000000001,4.0
Cheap Thrills,Sia Featuring Sean Paul,3S4px9f4lceWdKf0gWciFu,111,0.628,0.698,6.0,-5.608,0.0,0.105,0.0472,0.00143,0.0907,0.732,89.976,4.0
Body Party,Ciara,0rFZaQ4crlGAzuCjWCQ2xu,112,0.5770000000000001,0.5760000000000001,2.0,-6.2989999999999995,1.0,0.0563,0.0143,0.0,0.602,0.12,133.97299999999998,4.0
What It Feels Like For A Girl,Madonna,6rQcK4xOzePDdrTg7Yv6d6,200,0.67,0.627,8.0,-9.497,1.0,0.0478,0.201,0.00161,0.154,0.5820000000000001,104.988,4.0
Finesse,Bruno Mars & Cardi B,3Vo4wInECJQuz9BIBMOu8i,181,0.7040000000000001,0.8590000000000001,5.0,-4.877,0.0,0.0996,0.0185,0.0,0.0215,0.9259999999999999,105.115,4.0
Can I Have It Like That,Pharrell Featuring Gwen Stefani,55dkS0EluSphQb3d7htuXX,115,0.778,0.52,2.0,-7.716,1.0,0.259,0.155,1.26e-06,0.0808,0.35200000000000004,101.00399999999999,4.0
Stay Fly,Three 6 Mafia Featuring Young Buck & Eightball & MJG,5MYFw4T2gy52pOGBN4EYHS,116,0.789,0.8809999999999999,11.0,-5.757999999999999,1.0,0.0331,0.10800000000000001,0.0,0.355,0.647,133.30100000000002,4.0
As She's Walking Away,Zac Brown Band Featuring Alan Jackson,5qYiVdWxd84wRWGIQ9Hts6,117,0.5529999999999999,0.619,3.0,-7.101,1.0,0.0308,0.474,0.0,0.12300000000000001,0.374,183.91,4.0
Madness,Muse,0c4IEciLCDdXEhhKxj4ThA,118,0.502,0.41700000000000004,10.0,-7.665,1.0,0.0718,0.127,0.00419,0.106,0.218,180.301,4.0
Grillz,"Nelly Featuring Paul Wall, Ali & Gipp",0Aqlt4N5h6rUtKnd09VXpr,119,0.862,0.515,4.0,-7.305,0.0,0.266,0.0406,0.0,0.361,0.821,82.99,4.0
Domino,Jessie J,6MAdEUilV2p9RQUqE5bMAK,120,0.757,0.547,7.0,-4.573,1.0,0.0355,0.0115,0.0,0.0445,0.7929999999999999,126.977,4.0
Gonna,Blake Shelton,57gS5wJqIH6sbtBIIiioNY,121,0.667,0.8859999999999999,4.0,-5.12,1.0,0.0387,0.0265,0.0,0.0759,0.948,146.076,4.0
I Can't Love You Back,Easton Corbin,7tK1fO2PVs80OnVB1RSa89,2,0.5670000000000001,0.44799999999999995,11.0,-10.904000000000002,1.0,0.0296,0.327,2.9100000000000003e-05,0.133,0.10099999999999999,134.018,4.0
KEKE,"6ix9ine, Fetty Wap & A Boogie Wit da Hoodie",14PlDNjNh3pXyHXzkhX8n5,123,0.599,0.857,7.0,-5.7,1.0,0.299,0.0321,0.0,0.4,0.469,187.985,4.0
Type Of Way,Rich Homie Quan,07sOl7WsmCaUqaJaRn9Dss,170,0.846,0.49700000000000005,6.0,-10.174,0.0,0.419,0.146,0.0,0.0733,0.7959999999999999,134.875,4.0
Sorry Not Sorry,Demi Lovato,3Du2K5dLzmduCNp6uwuaL0,125,0.7020000000000001,0.635,11.0,-6.917000000000001,0.0,0.265,0.0223,0.0,0.28300000000000003,0.873,144.004,4.0
Blessings,Big Sean Featuring Drake,1bzM1cd6oqFozdr4wK6HdR,126,0.789,0.621,10.0,-7.685,0.0,0.28300000000000003,0.315,0.0,0.136,0.158,118.891,4.0
"Baby, Come Over (This Is Our Night)",Samantha Mumba,4PRB8Cs2ONx4VcVv0rFSwj,46,0.703,0.75,2.0,-6.617999999999999,0.0,0.0767,0.0554,0.000131,0.11,0.927,95.029,4.0
Chained To The Rhythm,Katy Perry Featuring Skip Marley,7qvxFz3JodM0A7xEM7k3YD,128,0.446,0.8,0.0,-5.404,1.0,0.174,0.0814,0.0,0.19899999999999998,0.474,189.89,4.0
Kiss A Girl,Keith Urban,4DyKZmONpoggnn3piyjad2,45,0.653,0.7859999999999999,2.0,-5.417999999999999,1.0,0.0338,0.0103,2.19e-06,0.201,0.47700000000000004,120.992,4.0
This Everyday Love,Rascal Flatts,7aNsPkxjfpxr6LM2Mg5sQr,35,0.605,0.812,0.0,-3.386,1.0,0.0695,0.379,0.0,0.0756,0.938,94.825,4.0
Don't You Wanna Stay,Jason Aldean With Kelly Clarkson,7CZiLgkiVHhFcDkI2Y4lZ4,131,0.445,0.631,11.0,-4.798,1.0,0.0304,0.129,0.0,0.0911,0.152,143.846,4.0
